,Articles,Prices
0,Article 0,6101.010506757009
1,Article 1,9050.531104158577
2,Article 2,7771.986862419627
3,Article 3,3399.4802016182634
4,Article 4,7877.147193335265
5,Article 5,6606.657432776177
6,Article 6,4551.473388974839
7,Article 7,2873.873458492201
8,Article 8,13038.04650425374
9,Article 9,6632.082537106953
10,Article 10,6336.180241775034
11,Article 11,1507.097177413535
12,Article 12,11283.742480075896
13,Article 13,12705.28757597777
14,Article 14,10063.762487092936
15,Article 15,1775.8946253315428
16,Article 16,6564.753733159196
17,Article 17,3999.029946222233
18,Article 18,4017.0200326742424
19,Article 19,3169.2260502583053
20,Article 20,1174.976361562721
21,Article 21,4651.264349013205
22,Article 22,7500.852127237278
23,Article 23,8861.048065410418
24,Article 24,4104.933195766689
25,Article 25,9638.37796992
26,Article 26,12181.711274173413
27,Article 27,16510.361017652293
28,Article 28,3818.1725743933675
29,Article 29,6111.31104835345
30,Article 30,7968.200282560019
31,Article 31,7764.949323679481
32,Article 32,3437.4483773777183
33,Article 33,6331.541778242949
34,Article 34,5604.129025129855
35,Article 35,6013.526580400674
36,Article 36,6425.698932871109
37,Article 37,3087.2410974628183
38,Article 38,2520.0159764643413
39,Article 39,4056.744663450143
40,Article 40,11916.310114508178
41,Article 41,8592.688832595288
42,Article 42,7182.688532345612
43,Article 43,5658.2436339778615
44,Article 44,10459.974647467769
45,Article 45,5963.797099239421
46,Article 46,19511.351667079147
47,Article 47,16410.08547266177
48,Article 48,10326.265805959854
49,Article 49,11065.980326870274
50,Article 50,16490.993262517182
51,Article 51,3512.8121454967923
52,Article 52,14627.569148564986
53,Article 53,5524.314131876524
54,Article 54,9062.424041410342
55,Article 55,11062.119828600928
56,Article 56,7517.353254926003
57,Article 57,20634.24762387836
58,Article 58,17126.169671833864
59,Article 59,2227.9539933786446
60,Article 60,11428.738552954428
61,Article 61,13015.31995733806
62,Article 62,13212.92125331061
63,Article 63,9723.914798156453
64,Article 64,11411.09015064739
65,Article 65,6464.519606457131
66,Article 66,6590.703244572723
67,Article 67,6870.180601240739
68,Article 68,12068.909128804611
69,Article 69,6170.059150112421
70,Article 70,7598.007845748332
71,Article 71,15002.341560368966
72,Article 72,6393.875189140923
73,Article 73,7514.611682338767
74,Article 74,8832.651334976823
75,Article 75,9522.188715990971
76,Article 76,11383.79304135191
77,Article 77,4186.7422026790555
78,Article 78,1344.0615476986338
79,Article 79,14431.77013518011
80,Article 80,6410.0864314894625
81,Article 81,4977.937260583558
82,Article 82,8556.90864788397
83,Article 83,3921.6147236431907
84,Article 84,3612.774552987901
85,Article 85,9041.439205295725
86,Article 86,7375.44498425434
87,Article 87,3043.6812701655485
88,Article 88,7059.596843486573
89,Article 89,5403.139162106211
90,Article 90,3276.5817376535524
91,Article 91,8848.748934496294
92,Article 92,2869.216854376516
93,Article 93,2639.122560606709
94,Article 94,3327.775010322794
95,Article 95,9047.975150795814
96,Article 96,6901.933356171814
97,Article 97,11303.106395943943
98,Article 98,4176.82454007418
99,Article 99,11792.880636761243
100,Article 100,4716.737186180217
101,Article 101,6606.149491288082
102,Article 102,4916.749423414846
103,Article 103,1458.3289367948346
104,Article 104,9052.125109933233
105,Article 105,4468.021211103005
106,Article 106,6890.966741042325
